                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9266,                 3.0573,                 1.5618,                0.01086,                0.50444,                0.39739,                0.24228,                 1.3262,                 3.2353,                 1.1978,               0.070682,              0.0032576,              0.0032576
                      1,                 1.5461,                 1.6395,                 1.2642,                0.99058,                0.15532,                0.63175,                0.30685,                 1.5001,                 2.5225,                 1.2032,               0.040421,              0.0063299,              0.0063299
                      2,                 1.5265,                 1.4081,                 1.2376,                0.78154,                0.57807,                0.69371,                0.40715,                 1.3213,                 1.5115,                 1.1432,              0.0098958,              0.0091382,              0.0091382
                      3,                  1.506,                  1.297,                 1.2103,                0.77995,                0.75549,                0.79014,                 0.4136,                 1.3926,                 1.3824,                 1.1753,               0.008812,               0.008812,               0.008812
                      4,                 1.4406,                 1.2013,                 1.1735,                0.78766,                0.73113,                0.81165,                0.43646,                 1.3346,                 1.3164,                 1.1438,               0.008812,               0.008812,               0.008812
                      5,                 1.4292,                 1.1362,                 1.1519,                0.82604,                0.70405,                0.80873,                0.44511,                 1.3196,                 1.2253,                 1.1009,               0.008416,               0.008416,               0.008416
                      6,                 1.3887,                 1.0679,                 1.1305,                0.79788,                0.75133,                0.80315,                0.43403,                 1.3973,                 1.0866,                 1.1238,                0.00802,                0.00802,                0.00802
                      7,                  1.342,                 1.0292,                 1.1071,                0.79746,                0.75684,                0.80397,                0.46008,                 1.2915,                 1.1186,                 1.0767,               0.007624,               0.007624,               0.007624
                      8,                 1.3391,                0.99641,                 1.1045,                 0.8546,                0.79199,                0.83331,                0.49803,                 1.2608,                0.94969,                 1.0703,               0.007228,               0.007228,               0.007228
                      9,                 1.3014,                0.94787,                 1.0883,                0.76579,                0.65212,                0.73065,                0.38177,                 1.4693,                 1.3159,                 1.1944,               0.006832,               0.006832,               0.006832
                     10,                 1.3025,                0.91998,                 1.0917,                0.82243,                0.77252,                0.83995,                0.44285,                 1.4074,                 1.1293,                 1.1666,               0.006436,               0.006436,               0.006436
                     11,                 1.3114,                0.90034,                 1.0925,                0.80558,                0.76332,                0.82197,                0.43704,                 1.3731,                 1.1337,                 1.1453,                0.00604,                0.00604,                0.00604
                     12,                 1.2778,                0.87576,                 1.0758,                0.86009,                0.73871,                0.82714,                0.47026,                 1.3077,                 0.9691,                   1.09,               0.005644,               0.005644,               0.005644
                     13,                 1.2468,                 0.8435,                 1.0622,                0.83595,                0.78331,                0.84934,                0.49127,                 1.2682,                0.87901,                 1.0776,               0.005248,               0.005248,               0.005248
                     14,                 1.2404,                0.82913,                 1.0628,                0.87362,                0.82265,                0.88255,                0.50833,                 1.2601,                0.82911,                 1.0562,               0.004852,               0.004852,               0.004852
                     15,                 1.2326,                0.84685,                 1.0752,                0.83035,                0.76055,                0.82741,                0.43528,                 1.4366,                 1.1306,                 1.1763,               0.004456,               0.004456,               0.004456
                     16,                 1.2262,                0.81969,                 1.0686,                0.85326,                0.82938,                0.86436,                0.50717,                 1.2147,                0.83413,                 1.0526,                0.00406,                0.00406,                0.00406
                     17,                 1.1993,                0.79416,                 1.0557,                0.84572,                 0.8432,                0.87719,                0.51625,                 1.2401,                 0.7867,                 1.0529,               0.003664,               0.003664,               0.003664
                     18,                 1.1915,                0.76211,                 1.0507,                0.86578,                0.82631,                0.87237,                0.51778,                 1.2433,                0.77203,                 1.0536,               0.003268,               0.003268,               0.003268
                     19,                 1.1845,                0.75869,                 1.0446,                0.87802,                0.80362,                0.87951,                0.50224,                 1.2421,                0.80379,                 1.0475,               0.002872,               0.002872,               0.002872
                     20,                 1.1734,                0.72993,                 1.0364,                0.84383,                0.83148,                0.85137,                0.49049,                  1.244,                 0.7904,                 1.0486,               0.002476,               0.002476,               0.002476
                     21,                 1.1528,                0.72026,                 1.0393,                0.85327,                0.79369,                0.85419,                0.48989,                 1.2564,                0.85537,                 1.0554,                0.00208,                0.00208,                0.00208
                     22,                 1.1469,                0.71196,                 1.0285,                  0.851,                0.83871,                0.87314,                0.51836,                 1.2191,                0.80592,                 1.0463,               0.001684,               0.001684,               0.001684
                     23,                 1.1442,                0.69827,                 1.0309,                0.85925,                0.84901,                0.89044,                0.53119,                 1.2084,                0.75764,                 1.0345,               0.001288,               0.001288,               0.001288
                     24,                 1.1191,                0.67865,                 1.0045,                0.87551,                0.84857,                0.89311,                0.53596,                 1.1984,                0.73296,                 1.0307,               0.000892,               0.000892,               0.000892
